Curso,Nivel,Codigo,Genero,Adaptacion,Puntuacion_profesor,Puntuacion_apoyo,Material,Puntuacion_curso,Edad,Decision,Gusto_g,Interes_profesional_g,Autoeficacia_g,Utilidad_g
BIOINGENIERIA,0,2707000,1,3,10,10,3,10,9,0,-0.333333333,0.5,0.75,-0.6
CIBERSEGURIDAD,1,2708000,1,3,10,10,3,10,14,2,0,0,0,0
BIOINGENIERIA,1,2708654,0,3,10,10,3,9,14,2,-0.166666667,0.333333333,-0.25,0.2
ROBOTICA,0,2709000,1,2,10,10,3,10,10,2,0.666666667,0.333333333,-0.5,0.4
DRONES,1,2709421,0,2,9,9,3,9,14,1,-0.333333333,0.5,1.25,0
EMPRENDE ICADE,1,2709776,1,3,10,10,3,10,15,2,0,0.5,0,0.2
EDICION DE FOTO Y VIDEO,0,2710000,1,3,10,10,2,9,8,0,-0.666666667,0.666666667,2.25,-0.6
INGENIERIA MECANICA,1,2710351,0,2,9,9,2,9,16,0,-0.333333333,-0.5,0.25,0.4
INGENIERIA MECANICA,0,2801000,0,3,10,10,3,10,12,2,0,-0.666666667,0,0
CIENCIA EN LA COCINA,0,2802000,1,2,10,10,3,10,10,2,-0.333333333,0.333333333,-0.25,0.2
EDICION DE FOTO Y VIDEO,0,2803000,1,0,9,10,2,8,11,1,0.166666667,-0.166666667,0.25,-0.6
ROBOTICA,0,2803273,0,2,9,9,3,9,13,1,0.333333333,0.666666667,1.5,0
EDICION DE FOTO Y VIDEO,0,2804000,0,3,9,9,2,9,12,1,0.333333333,-0.166666667,0.25,0.6
AUTOMATIZACION,1,2804143,0,1,9,1,2,7,17,1,-0.333333333,-0.666666667,0.5,0.2
EMPRENDE ICADE,1,2807313,1,2,8,8,2,8,16,2,-0.666666667,0.333333333,-0.5,0
AUTOMATIZACION,1,2807679,0,2,10,10,2,9,15,2,-0.166666667,0.166666667,0,0
DISEÑO 3D,1,2807890,0,2,9,9,3,9,13,1,0.5,0.833333333,0,0.8
EDICION DE FOTO Y VIDEO,0,2808000,1,2,7,7,3,7,10,0,0.666666667,-0.666666667,-0.25,0.2
MINECRAFT,0,2811000,0,2,9,9,3,9,10,1,0,1.166666667,-1.25,0
MINECRAFT,0,2811000,0,3,9,9,3,10,10,1,0,-0.166666667,0.25,0.6
CIENCIA EN LA COCINA,0,2812000,1,3,9,9,3,10,10,0,0,0,0.25,0.2
BIOINGENIERIA,1,2812778,0,2,9,10,3,8,15,0,0.333333333,0.833333333,-0.25,0
DRONES,1,2901314,0,2,10,10,2,8,15,0,-0.5,0.166666667,0,0.2
CIBERSEGURIDAD,1,2901837,0,2,10,10,3,10,16,2,0.166666667,0.5,0,0.8
VIDEOJUEGOS 3D,1,2908377,0,3,9,5,3,9,13,0,-0.166666667,0.166666667,1.25,-0.4
DRONES,1,2909080,0,2,9,9,2,9,14,0,0,0,0,0
VIDEOJUEGOS 3D,1,2912000,0,3,10,5,2,10,12,2,0.166666667,1,0.25,0
CIBERSEGURIDAD,1,3003609,0,2,9,9,2,8,16,2,-0.5,-0.666666667,-0.75,-0.2
MINECRAFT,0,3004000,0,3,10,10,3,10,13,2,0,0,0,0
INGENIERIA MECANICA,1,3005065,0,2,8,8,2,7,15,2,-0.333333333,-0.166666667,0,-0.4
BIOINGENIERIA,0,3006000,0,3,10,10,3,10,11,0,0,0,-0.75,0.4
EDICION DE FOTO Y VIDEO,0,3007000,0,3,9,10,3,10,11,0,0,0,0,0
EDICION DE FOTO Y VIDEO,0,3007350,1,2,7,8,2,5,13,0,0.166666667,-0.666666667,-0.25,-0.6
VIDEOJUEGOS 3D,1,3008623,1,2,9,5,3,9,15,2,0.333333333,0,0.25,0
BIOINGENIERIA,0,3009335,0,3,10,10,3,10,12,1,0.666666667,0,0,0
EMPRENDE ICADE,1,3009521,0,3,10,10,3,10,15,1,-0.333333333,0,0.5,-0.6
CIENCIA EN LA COCINA,1,3010927,1,3,10,10,3,10,15,2,0.166666667,0.166666667,0.5,0.2
INTELIGENCIA ARTIFICIAL,1,3011691,1,3,9,9,2,9,16,1,-0.166666667,-0.166666667,0,0.2
DISEÑO 3D,0,3012000,0,2,8,9,2,9,10,2,0,0.666666667,0,0.4
CIENCIA EN LA COCINA,0,3103000,1,2,10,10,3,10,11,1,-0.333333333,-0.5,0,0
DISEÑO 3D,0,3103499,1,3,10,10,3,10,11,1,0.166666667,-0.166666667,0,0
SMART CITY,1,3103858,1,1,10,10,3,8,16,2,0.333333333,-0.666666667,0.25,0
INGENIERIA MECANICA,1,3103888,0,3,8,10,2,9,15,2,0.333333333,0,-0.5,0.2
INTELIGENCIA ARTIFICIAL,1,3105101,1,3,10,10,2,9,14,2,0,0.5,0.25,0.2
BIOINGENIERIA,1,3110083,1,2,9,9,3,9,14,2,0,0.5,0,0.2
BIOINGENIERIA,1,17305443,1,2,9,10,3,8,16,0,0,-0.166666667,0.25,0
CIENCIA EN LA COCINA,0,140509000,0,3,10,10,3,10,12,2,0,0.5,0,0
INGENIERIA MECANICA,0,200111000,0,2,8,10,3,9,10,2,0.5,0.666666667,0,0.2
ROBOTICA,0,1042011000,0,3,10,10,3,10,10,2,-0.166666667,0,1.5,0
DISEÑO 3D,0,7092010000,0,2,10,10,3,10,10,2,-0.333333333,0.5,-2.25,0.2
