Curso,Nivel,Codigo,Genero,Adaptacion,Puntuacion_profesor,Puntuacion_apoyo,Material,Puntuacion_curso,Edad,Decision,Gusto_g,Interes_profesional_g,Autoeficacia_g,Utilidad_g
ROBOTICA,0,705000,1,2,8,8,2,9,12,1,-0.333333333,0,0,0
DISEÑO 3D,0,707000,0,2,9,9,3,9,11,2,0,-0.166666667,0.5,0
BIOINGENIERIA,1,707996,1,3,8,9,3,8,17,2,0.166666667,-0.166666667,0.5,-0.2
INGENIERIA MECANICA,1,708269,0,3,9,10,3,10,12,2,0.166666667,0.166666667,-0.25,0.2
EDICION DE FOTO Y VIDEO,1,708871,0,3,10,10,3,10,13,2,0.666666667,0,0.25,0
BIOINGENIERIA,0,710515,1,3,10,6,3,10,13,1,-0.166666667,1.333333333,-0.75,-0.2
CIBERSEGURIDAD,1,710906,0,1,7,8,2,8,15,2,0,-0.166666667,0,-0.4
INGENIERIA ELECTRONICA,1,711327,0,3,10,10,3,10,14,2,0,0,0,0
VIDEOJUEGOS 2D,0,712000,0,2,9,10,3,10,11,1,0,-0.333333333,-0.5,0
INGENIERIA MECANICA,1,801040,0,2,10,10,3,9,17,2,0.5,0,-1,0
EDICION DE FOTO Y VIDEO,0,802000,1,2,8,7,3,7,12,1,0,0.166666667,0,-0.2
VIDEOJUEGOS 3D,1,802836,1,2,10,5,2,9,15,2,0.166666667,-0.333333333,0,-0.4
DISEÑO 3D,0,804000,1,2,10,10,3,10,11,2,0.333333333,0.666666667,-1,-0.2
BIOINGENIERIA,1,804594,1,2,9,10,3,10,14,2,0,-0.666666667,-0.25,0
INGENIERIA MECANICA,1,805065,0,3,9,10,3,9,15,2,0,-0.166666667,0.5,-0.2
DRONES,1,805382,0,3,9,9,3,9,16,2,-0.166666667,0.166666667,-0.25,0.2
EMPRENDE ICADE,1,806041,0,2,9,9,2,8,15,0,0,-0.5,0.25,-0.4
BIOINGENIERIA,1,806974,0,2,9,10,3,10,17,2,0.166666667,0.166666667,0,0.2
VIDEOJUEGOS 3D,1,809000,1,3,10,5,3,10,14,2,0,0,0,0
AUTOMATIZACION,1,902236,1,3,9,5,3,9,14,2,0,0.333333333,0.25,0
CIENCIA EN LA COCINA,0,903000,1,3,10,10,3,10,10,1,0.5,0.666666667,-0.75,0
CIENCIA EN LA COCINA,1,904445,1,3,10,9,3,9,15,2,0.166666667,0.166666667,0,0
EDICION DE FOTO Y VIDEO,1,905682,0,3,8,10,3,9,15,2,-0.166666667,0,0.25,-0.4
BIOINGENIERIA,1,908167,1,2,10,10,3,9,14,1,0.166666667,0.166666667,0,0.2
CIBERSEGURIDAD,1,908497,0,3,10,10,3,9,15,1,1.166666667,-0.333333333,0,0.2
EMPRENDE ICADE,1,910628,0,3,10,10,2,10,15,2,0.333333333,0.333333333,-0.5,0.2
CIENCIA EN LA COCINA,0,911000,1,3,10,10,3,10,11,0,-0.333333333,-0.666666667,-0.25,-0.2
EDICION DE FOTO Y VIDEO,0,1001051,1,3,10,1,2,10,12,0,0.166666667,-0.166666667,0.25,0.4
MINECRAFT,0,1003000,0,3,10,10,3,10,10,2,-0.166666667,0.166666667,0,0.2
BIOINGENIERIA,1,1003516,1,2,10,10,3,10,15,2,0.5,-0.166666667,0,0
CIBERSEGURIDAD,1,1005078,0,2,10,10,3,9,16,2,0.333333333,0,0,0
BIOINGENIERIA,1,1006000,1,3,10,10,3,10,14,2,0,0,0.25,0
CIBERSEGURIDAD,1,1006462,0,2,9,9,3,9,17,2,-0.166666667,0.5,-0.75,-0.2
BIOINGENIERIA,1,1006955,1,2,10,10,3,9,15,2,0.166666667,-0.666666667,-0.25,-0.4
INTELIGENCIA ARTIFICIAL,1,1009271,0,2,10,10,3,8,14,1,0.166666667,0.5,0.5,0.6
DRONES,1,1010827,0,2,9,7,2,9,14,1,-0.333333333,-0.333333333,-0.5,0.2
VIDEOJUEGOS 3D,1,1012000,0,2,9,5,2,9,13,1,0,-0.5,0,-0.2
DISEÑO 3D,1,1012271,0,3,10,10,3,10,15,0,0,0,-0.25,0.4
