Codigo,Edad,Nivel,Genero,Gusto,Interes_profesional,Autoeficacia,Utilidad,Grupo_Edad,label
1206000.0,13,JUNIOR,Chica,3.6666666666666665,3.6666666666666665,3.5,4.8,Older student,2
1209000.0,11,JUNIOR,Chico,4.333333333333333,3.5,4.25,4.8,Younger student,2
1312000.0,11,JUNIOR,Chica,3.333333333333333,3.333333333333333,4.25,4.2,Younger student,2
1402000.0,10,JUNIOR,Chico,4.166666666666667,4.666666666666667,3.75,4.6,Younger student,0
2110000.0,9,JUNIOR,Chica,3.0,2.333333333333333,2.75,3.8,Younger student,1
2301000.0,10,JUNIOR,Chica,4.333333333333333,3.333333333333333,3.0,4.0,Younger student,2
2501000.2,10,JUNIOR,Chica,1.6666666666666667,3.0,2.25,2.0,Younger student,1
2802000.0,10,JUNIOR,Chica,4.666666666666667,4.333333333333333,3.75,4.4,Younger student,0
3103000.0,11,JUNIOR,Chica,4.666666666666667,3.333333333333333,4.0,5.0,Younger student,2
140509000.0,12,JUNIOR,Chico,3.1666666666666665,2.5,3.25,3.4,Younger student,1
108000.3,13,SENIOR,Chica,2.6666666666666665,2.833333333333333,3.0,4.2,Older student,1
307399.0,13,SENIOR,Chica,5.0,4.666666666666667,5.0,5.0,Older student,0
904445.0,15,SENIOR,Chica,4.333333333333333,4.833333333333333,3.5,3.8,Older student,0
1503293.0,14,SENIOR,Chico,3.333333333333333,3.333333333333333,3.5,4.2,Older student,2
2904509.0,14,SENIOR,Chica,4.333333333333333,4.0,3.75,5.0,Older student,2
3010927.0,15,SENIOR,Chica,4.333333333333333,4.833333333333333,4.5,4.0,Older student,0
108000.2,11,JUNIOR,Chico,4.833333333333333,5.0,4.25,5.0,Younger student,0
249000.0,10,JUNIOR,Chica,5.0,3.8333333333333335,5.0,5.0,Younger student,0
506000.0,11,JUNIOR,Chico,4.0,3.0,3.75,4.6,Younger student,2
610000.0,10,JUNIOR,Chica,5.0,4.833333333333333,3.5,4.4,Younger student,0
707000.0,11,JUNIOR,Chico,3.8333333333333335,3.5,4.0,4.0,Younger student,2
1310000.3,12,JUNIOR,Chica,4.333333333333333,4.0,2.25,4.6,Younger student,2
1311000.0,12,JUNIOR,Chico,3.6666666666666665,3.1666666666666665,2.75,4.8,Younger student,2
1311000.2,10,JUNIOR,Chica,4.0,3.0,3.25,4.4,Younger student,2
1505000.0,11,JUNIOR,Chica,4.0,3.1666666666666665,3.75,4.2,Younger student,2
1709000.0,12,JUNIOR,Chico,4.666666666666667,4.333333333333333,4.25,4.4,Younger student,0
2103000.0,11,JUNIOR,Chica,4.5,2.1666666666666665,3.25,4.4,Younger student,2
2209000.0,11,JUNIOR,Chico,4.666666666666667,4.166666666666667,4.5,5.0,Younger student,0
2501987.0,13,JUNIOR,Chico,4.666666666666667,3.8333333333333335,3.75,4.8,Older student,2
2703772.0,12,JUNIOR,Chica,3.333333333333333,2.5,3.5,4.0,Younger student,1
2808978.0,11,JUNIOR,Chico,2.333333333333333,2.833333333333333,2.75,4.4,Younger student,1
2810000.0,9,JUNIOR,Chico,3.5,3.6666666666666665,2.5,3.4,Younger student,1
3009771.0,12,JUNIOR,Chico,5.0,4.333333333333333,5.0,4.8,Younger student,0
3012000.0,10,JUNIOR,Chico,4.166666666666667,2.833333333333333,3.75,2.4,Younger student,1
3103499.0,11,JUNIOR,Chica,4.666666666666667,3.1666666666666665,3.5,4.8,Younger student,2
7092010000.0,10,JUNIOR,Chico,3.1666666666666665,2.1666666666666665,4.25,4.2,Younger student,1
204543.0,16,SENIOR,Chica,4.0,4.333333333333333,3.75,4.2,Older student,2
306394.0,16,SENIOR,Chica,3.333333333333333,1.3333333333333333,3.5,4.4,Older student,1
1306366.0,14,SENIOR,Chico,3.8333333333333335,4.166666666666667,4.25,4.0,Older student,2
1711134.0,12,SENIOR,Chica,4.833333333333333,4.833333333333333,3.75,4.8,Younger student,0
2202269.0,14,SENIOR,Chico,4.5,4.0,3.75,3.6,Older student,2
2206668.0,16,SENIOR,Chico,4.333333333333333,4.333333333333333,3.75,3.8,Older student,0
2807890.0,13,SENIOR,Chico,2.1666666666666665,2.0,3.25,3.4,Older student,1
306080.0,16,SENIOR,Chico,4.333333333333333,5.0,3.75,4.4,Older student,0
310825.0,15,SENIOR,Chico,4.833333333333333,4.0,3.25,4.6,Older student,2
805382.0,16,SENIOR,Chico,4.0,4.0,3.75,4.2,Older student,2
1010827.0,14,SENIOR,Chico,4.0,4.333333333333333,3.25,3.8,Older student,2
1307570.0,14,SENIOR,Chico,3.6666666666666665,3.1666666666666665,2.75,3.2,Older student,1
1611000.0,14,SENIOR,Chico,3.6666666666666665,3.1666666666666665,3.75,3.6,Older student,2
1809761.0,14,SENIOR,Chico,5.0,4.0,4.25,4.8,Older student,0
2203645.0,16,SENIOR,Chico,5.0,5.0,5.0,5.0,Older student,0
2207915.0,13,SENIOR,Chico,4.166666666666667,3.8333333333333335,3.5,3.8,Older student,2
