Curso,Nivel,Codigo,Genero,Adaptacion,Puntuacion_profesor,Puntuacion_apoyo,Laboratorios_escuela,Laboratorios_comunicaciones,Sensibilizacion_ONG,Material,Ingenieria_despues,Dedicacion,Valoracion_ingenierias,Nivel_matematicas,Recomendacion,Repetir,Puntuacion_curso,Mejor_curso,Peor_curso,Mejorar,Gustar,Estudiar,Entender,No_entender,Profesional,Actividades,Carrera,Facilidad,Disfrutar,No_trabajo,Mundo_mejor,Interes_asignaturas,Salida_profesional,Actividades_instituto,Dificultad_asignaturas,Trabajo,Respeto_cientificos,Efecto_vidas,No_gustar,Examenes,Decisiones_personales
BIOINGENIERIA,JUNIOR,50109,Chico,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,No sé,A algo relacionado con la física.,Muy buena,Muy bien,Sí,Sí,10,Todo,No ha habido nada que no me haya gustado.,El patio,5,5,5,1,2,4,4,5,5,2,5,5,4,4,2,4,4,5,1,1,5
BIOINGENIERIA,JUNIOR,108000,Chica,Bien,10,10,Buena,No asistí,Muy buena,Muy bien,Sí,Astrofísica,Muy buena,Muy bien,Sí,Sí,9,Observación con microscopios,Que había algunas actividades que eran un poco repetitivas,Podríamos ver algún tema más,5,5,5,1,1,4,5,3,5,1,5,5,5,3,5,4,3,3,1,2,4
BIOINGENIERIA,JUNIOR,157000,Chico,Muy bien,10,10,Muy buena,Buena,Buena,Muy bien,No sé,arquitecto,Muy buena,Muy bien,Sí,No,10,los compañeros,no se,no,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BIOINGENIERIA,JUNIOR,210000,Chico,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,Medicina biomolecular,Muy buena,Muy bien,Sí,Sí,10,Ver las células y las bacterias al microscopio.,Nada.,Comprar más material para los experimentos.,5,5,5,1,1,5,5,2,5,1,4,4,5,5,5,5,3,5,1,2,5
BIOINGENIERIA,JUNIOR,249000,Chica,Bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,No lo sé,Muy buena,Muy bien,Sí,Sí,10,Todo,Nada,Nada,5,5,5,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,1,1,5
BIOINGENIERIA,JUNIOR,303884,Chico,Muy bien,10,10,Muy buena,No asistí,Regular,Muy bien,No sé,No sé,Buena,Muy bien,Sí,Sí,9,Ver mi ADN en el microscopio,Metano del laboratorio de química,No sé,4,5,5,3,3,4,3,4,5,3,5,3,3,5,5,3,2,5,1,4,4
BIOINGENIERIA,JUNIOR,412000,Chica,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,Me gustaría estudiar medicina. Pero hay muchísimos trabajos muy apasionantes.,Muy buena,Muy bien,Sí,Sí,10,"No podría elegir entre todas las maravillosas cosas del curso. Mis profesoras han sido muy agradables y divertidas, como mis compañeros. Hemos dado temario muy interesante y en general me lo he pasado muy bien.","La verdad, que no ha habido nada que me haya disgustado.",No sabría muy bien que cambiar del curso. Todo ha sido satisfactorio para mi.,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,3,5,1,1,4
BIOINGENIERIA,JUNIOR,608000,Chica,Bien,10,8,Muy buena,No asistí,Muy buena,Muy bien,Sí,veterinaria,Muy buena,Bien,Sí,No,9,ver por el microscopio,los tintes que manchan,la hora de entrada,5,5,5,1,1,4,5,4,4,1,5,4,5,5,1,5,4,4,1,1,5
BIOINGENIERIA,JUNIOR,710515,Chica,Muy bien,10,6,No asistí,No asistí,Muy buena,Muy bien,Sí,Zoóloga,Muy buena,Bien,Sí,Sí,10,Ver por el microscopio las bacterias de las placas petri,"Cada dia en el curso se hace un poco largo, propongo que sea una hora menos","aparte de lo que he escrito arriba, nada mas",5,4,5,4,3,5,4,2,4,1,5,5,5,4,5,4,3,5,4,3,5
BIOINGENIERIA,JUNIOR,912606,Chico,Bien,10,10,Muy buena,No asistí,Buena,Muy bien,No sé,Medico,Buena,Bien,Sí,No,10,El microscopio,Las explicaciónes,El tiempo en explicar cosas,5,3,5,1,3,3,5,4,4,3,5,3,3,3,2,3,5,5,1,2,5
BIOINGENIERIA,JUNIOR,1008000,Chico,Muy bien,9,9,Muy buena,Buena,Buena,Muy bien,Sí,Ingeniero civil,Muy buena,Muy bien,Sí,Sí,9,Los experimentos y su explicacion,No sé,Nada,4,5,5,1,2,4,4,4,5,1,5,4,5,4,2,5,5,4,1,1,5
BIOINGENIERIA,JUNIOR,1109806,Chica,Bien,9,10,Buena,No asistí,Muy buena,Muy bien,Sí,Biomedicina,Buena,Bien,Sí,Sí,9,Microscopio,Cuando nos hablaron del corazon,Nada,4,4,5,2,2,3,4,4,4,2,5,3,4,3,4,3,5,4,1,4,4
BIOINGENIERIA,JUNIOR,1508281,Chico,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,"Algo relacionado sobre la ciencia, posiblemente la ingeniería biomedicina",Muy buena,Bien,Sí,Sí,10,Experimento de metano en el laboratorio de química,No se,No se,5,4,5,1,1,5,4,5,5,1,5,5,4,5,2,5,4,5,1,1,5
BIOINGENIERIA,JUNIOR,1601778,Chica,Bien,9,9,Muy buena,Buena,Muy buena,Muy bien,Sí,En algo relacionado con ciencias o temas policíacos.,Buena,Muy bien,Sí,Sí,10,Mirar por el microscopio.,Nada.,Nada.,5,5,4,2,1,3,4,4,4,1,5,4,5,4,1,5,4,5,1,1,5
BIOINGENIERIA,JUNIOR,1607000,Chica,Bien,7,10,Muy buena,No asistí,Muy buena,Muy bien,No sé,No lo sé,Buena,Muy bien,Sí,Sí,7,Probar y hacer experimentos con los materiales,Las explicaciones demasiado largas,Creo que estaría bien que tuviésemos menos explicaciones y hiciésemos más prácticas,5,5,5,1,1,4,4,4,4,1,5,5,5,4,1,4,4,5,1,2,5
BIOINGENIERIA,JUNIOR,1701975,Chico,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,Física nuclear,Muy buena,Muy bien,Sí,Sí,10,ADN,Los yogures,No trabajar con saliba,5,5,5,1,1,5,5,5,5,2,5,3,5,5,2,5,5,4,1,2,5
BIOINGENIERIA,JUNIOR,1812000,Chica,Muy bien,10,10,Muy buena,No asistí,Muy buena,Bien,No sé,Ciencia,Buena,Bien,Sí,Sí,9,Todo,Nada,Nada,4,4,4,2,2,4,4,3,4,2,5,4,4,4,3,4,2,5,1,3,5
