Codigo,Grupo_Edad,Genero,label_x,label_y
1503393,Older student,Chica,1,2
1601458,Older student,Chico,0,0
1701952,Older student,Chico,0,0
1702418,Older student,Chica,2,2
1705326,Older student,Chica,2,1
1801010,Older student,Chico,2,0
2108000,Older student,Chica,2,2
2404467,Older student,Chico,0,0
2504867,Older student,Chica,2,1
2709776,Older student,Chica,0,0
2807313,Older student,Chica,1,1
3009521,Older student,Chico,1,1
7777777,Older student,Chico,0,0
310000,Younger student,Chica,1,1
1806000,Younger student,Chico,2,2
2204000,Younger student,Chico,2,2
2206000,Younger student,Chico,2,2
2509049,Younger student,Chica,1,1
0,Older student,Chico,2,2
302594,Older student,Chico,2,2
307566,Older student,Chica,0,0
404000,Older student,Chico,0,0
703676,Older student,Chico,0,0
711327,Older student,Chico,0,0
1610654,Older student,Chico,1,2
1909923,Older student,Chico,2,2
2309302,Older student,Chica,0,0
1308000,Younger student,Chico,0,0
1712000,Younger student,Chico,2,2
1904000,Younger student,Chico,0,0
2403000,Younger student,Chico,2,1
2801000,Younger student,Chico,0,0
3001000,Younger student,Chico,0,0
200111000,Younger student,Chico,2,0
311077,Older student,Chico,0,0
604762,Older student,Chico,0,0
609703,Older student,Chico,2,0
708269,Younger student,Chico,0,0
801040,Older student,Chico,0,0
805065,Older student,Chico,0,0
1107991,Older student,Chico,2,2
1305293,Older student,Chico,2,2
1404024,Older student,Chica,0,0
1506244,Older student,Chica,0,0
1509805,Older student,Chico,0,0
1603225,Older student,Chico,0,0
1904467,Older student,Chico,2,0
2004265,Older student,Chico,2,2
2007890,Older student,Chico,2,2
2101115,Older student,Chico,0,0
2101540,Older student,Chico,2,2
2101894,Older student,Chico,0,0
2203352,Older student,Chico,0,0
2212121,Older student,Chico,1,1
2308128,Older student,Chico,0,0
2405155,Older student,Chico,0,0
2410178,Older student,Chico,2,2
2512371,Older student,Chico,2,1
2612649,Older student,Chico,2,0
2710351,Older student,Chico,2,2
3005065,Older student,Chico,2,2
3103888,Older student,Chico,2,2
109196,Older student,Chico,0,0
302848,Older student,Chica,0,0
312047,Older student,Chico,1,1
512090,Older student,Chica,1,1
606472,Older student,Chico,0,0
607816,Older student,Chico,2,2
707974,Older student,Chico,0,0
1009271,Older student,Chico,2,2
1107711,Older student,Chico,0,0
1110323,Older student,Chico,1,1
1407450,Older student,Chico,0,0
1611663,Older student,Chico,0,2
1801821,Older student,Chica,0,0
1806485,Older student,Chico,0,0
2112739,Older student,Chica,0,2
2403768,Older student,Chico,0,0
2405749,Older student,Chico,0,0
2609000,Older student,Chico,0,0
3011691,Older student,Chica,0,0
3105101,Older student,Chica,2,0
207323,Older student,Chico,1,1
225000,Younger student,Chico,2,2
409000,Younger student,Chico,2,2
1003000,Younger student,Chico,0,0
1103750,Younger student,Chico,1,1
1405000,Younger student,Chico,2,0
1407847,Older student,Chico,2,2
1407920,Older student,Chico,2,2
1411000,Younger student,Chico,1,1
1504000,Younger student,Chico,2,2
1606000,Younger student,Chico,0,0
1702000,Younger student,Chico,1,0
1810000,Younger student,Chico,0,0
1909000,Younger student,Chico,1,1
2507000,Younger student,Chico,2,2
2611160,Younger student,Chico,0,2
2811000,Younger student,Chico,2,2
3004000,Older student,Chico,0,0
711046,Older student,Chico,2,0
1704015,Younger student,Chico,0,0
1901355,Older student,Chico,2,0
2101370,Older student,Chico,0,0
2311467,Older student,Chico,2,2
705000,Younger student,Chica,2,0
1905000,Younger student,Chico,2,2
2308161,Older student,Chica,2,0
2709000,Younger student,Chica,2,2
2803273,Older student,Chico,2,0
1042011000,Younger student,Chico,2,0
